"GAME_DATE_EST","Team","PTS","REB","AST","FG_PCT","FT_PCT","FG_3_PCT","WIN","rest_days","rest_category"
2016-10-28,"IND",94,49,22,0.378,0.65,0.292,0,2,"1"
2016-10-29,"IND",101,33,34,0.489,0.889,0.389,0,1,"0"
2016-11-01,"IND",115,43,19,0.471,0.793,0.357,1,3,"2+"
2016-11-03,"IND",107,32,29,0.469,0.778,0.435,0,2,"1"
2016-11-05,"IND",111,36,27,0.535,0.583,0.462,1,2,"1"
2016-11-07,"IND",100,52,23,0.426,0.733,0.273,0,2,"1"
2016-11-09,"IND",122,43,25,0.544,0.75,0.474,1,2,"1"
2016-11-11,"IND",105,40,23,0.443,0.957,0.263,0,2,"1"
2016-11-12,"IND",99,40,17,0.419,0.75,0.222,0,1,"0"
2016-11-14,"IND",88,49,22,0.389,1,0.32,1,2,"1"
2016-11-16,"IND",103,40,22,0.5,0.636,0.357,1,2,"1"
2016-11-18,"IND",96,35,18,0.474,0.793,0.143,0,2,"1"
2016-11-20,"IND",115,51,23,0.449,0.774,0.5,1,2,"1"
2016-11-21,"IND",83,49,13,0.32,0.917,0.261,0,1,"0"
2016-11-23,"IND",85,37,16,0.405,0.714,0.259,0,2,"1"
2016-11-25,"IND",118,47,25,0.552,0.688,0.423,1,2,"1"
2016-11-27,"IND",91,52,26,0.435,0.857,0.263,1,2,"1"
2016-11-30,"IND",109,32,19,0.5,0.886,0.429,0,3,"2+"
2016-12-04,"IND",111,36,21,0.494,0.8,0.357,1,4,"2+"
2016-12-05,"IND",106,40,20,0.412,0.943,0.2,0,1,"0"
2016-12-07,"IND",109,49,16,0.449,0.78,0.304,1,2,"1"
2016-12-09,"IND",103,38,21,0.464,0.962,0.56,0,2,"1"
2016-12-10,"IND",118,39,24,0.482,0.821,0.517,1,1,"0"
2016-12-12,"IND",110,42,24,0.489,0.7,0.472,1,2,"1"
2016-12-14,"IND",89,38,14,0.371,0.824,0.333,0,2,"1"
2016-12-15,"IND",95,46,23,0.414,0.833,0.143,0,1,"0"
2016-12-17,"IND",105,51,20,0.482,0.76,0.316,1,2,"1"
2016-12-19,"IND",107,41,18,0.471,0.857,0.333,1,2,"1"
2016-12-20,"IND",111,44,22,0.429,0.818,0.261,0,1,"0"
2016-12-22,"IND",102,50,20,0.427,0.862,0.304,0,2,"1"
2016-12-26,"IND",85,40,26,0.42,0.8,0.36,0,4,"2+"
2016-12-28,"IND",105,34,24,0.443,0.828,0.393,0,2,"1"
2016-12-30,"IND",111,42,26,0.481,0.867,0.368,1,2,"1"
2017-01-01,"IND",117,46,28,0.5,0.917,0.409,1,2,"1"
2017-01-03,"IND",121,34,26,0.581,0.867,0.563,1,2,"1"
2017-01-05,"IND",121,44,23,0.516,0.789,0.455,1,2,"1"
2017-01-07,"IND",123,53,25,0.5,0.929,0.458,1,2,"1"
2017-01-12,"IND",112,34,26,0.468,0.923,0.414,0,5,"2+"
2017-01-16,"IND",98,45,26,0.506,0.688,0.263,1,4,"2+"
2017-01-18,"IND",106,32,22,0.52,0.84,0.333,1,2,"1"
2017-01-20,"IND",95,37,24,0.425,0.72,0.391,0,2,"1"
2017-01-21,"IND",100,36,17,0.506,0.706,0.5,0,1,"0"
2017-01-23,"IND",103,37,18,0.442,0.8,0.269,0,2,"1"
2017-01-26,"IND",109,44,21,0.519,0.882,0.556,1,3,"2+"
2017-01-27,"IND",115,29,19,0.487,0.879,0.357,1,1,"0"
2017-01-29,"IND",120,42,28,0.54,0.808,0.238,1,2,"1"
2017-02-01,"IND",98,38,25,0.478,0.885,0.45,1,3,"2+"
2017-02-03,"IND",106,49,20,0.43,0.774,0.4,1,2,"1"
2017-02-04,"IND",105,41,22,0.484,0.667,0.292,1,1,"0"
2017-02-06,"IND",93,37,19,0.379,0.655,0.308,1,2,"1"
2017-02-08,"IND",117,38,24,0.5,0.846,0.52,0,2,"1"
2017-02-10,"IND",107,42,29,0.489,0.867,0.19,0,2,"1"
2017-02-11,"IND",100,36,19,0.479,0.833,0.455,0,1,"0"
2017-02-13,"IND",106,37,21,0.487,0.7,0.45,0,2,"1"
2017-02-15,"IND",104,43,30,0.465,0.857,0.5,0,2,"1"
2017-02-16,"IND",98,35,21,0.5,0.778,0.222,0,1,"0"
2017-02-24,"IND",102,50,23,0.513,1,0.423,1,8,"2+"
2017-02-25,"IND",95,43,21,0.4,0.885,0.333,0,1,"0"
2017-02-27,"IND",117,55,29,0.451,0.88,0.433,1,2,"1"
2017-03-01,"IND",99,41,22,0.457,0.72,0.304,0,2,"1"
2017-03-05,"IND",97,44,24,0.449,0.571,0.455,1,4,"2+"
2017-03-06,"IND",88,41,29,0.457,0.667,0.4,0,1,"0"
2017-03-08,"IND",115,46,27,0.5,0.842,0.478,1,2,"1"
2017-03-10,"IND",85,36,15,0.44,0.773,0.111,0,2,"1"
2017-03-12,"IND",102,46,12,0.427,0.844,0.333,1,2,"1"
2017-03-14,"IND",81,53,16,0.368,0.6,0.276,0,2,"1"
2017-03-15,"IND",98,42,26,0.534,0.889,0.429,1,1,"0"
2017-03-19,"IND",91,33,22,0.413,0.731,0.261,0,4,"2+"
2017-03-20,"IND",107,43,21,0.437,0.913,0.5,1,1,"0"
2017-03-22,"IND",100,45,20,0.437,0.684,0.393,0,2,"1"
2017-03-24,"IND",117,39,19,0.505,0.727,0.542,0,2,"1"
2017-03-26,"IND",107,51,16,0.427,0.828,0.412,1,2,"1"
2017-03-28,"IND",114,37,25,0.494,0.829,0.278,0,2,"1"
2017-03-29,"IND",97,43,19,0.435,0.867,0.4,0,1,"0"
2017-03-31,"IND",100,42,19,0.414,0.81,0.423,0,2,"1"
2017-04-02,"IND",130,46,32,0.457,0.9,0.39,0,2,"1"
2017-04-04,"IND",108,43,16,0.438,1,0.48,1,2,"1"
2017-04-06,"IND",104,44,20,0.475,0.769,0.32,1,2,"1"
2017-04-08,"IND",127,45,35,0.593,0.737,0.5,1,2,"1"
2017-04-10,"IND",120,44,30,0.576,0.81,0.313,1,2,"1"
2017-04-12,"IND",104,41,21,0.476,0.842,0.417,1,2,"1"
2016-10-30,"WAS",103,40,19,0.442,0.88,0.2,0,3,"2+"
